startdate	 starttime	 price	 pricecolor	 availability	 departure	 destination	 distance	 kmpereuro	 duration	
2016-05-19 	 14:00 	 3 	 price-green 	 2 	 Dietikon 	 Amden 	 78807 	 26 	 0
2016-05-19 	 18:00 	 6 	 price-red 	 2 	 Zürich 	 Sankt Gallen 	 86215 	 14 	 0
2016-05-19 	 18:00 	 6 	 price-red 	 3 	 Kloten 	 Sankt Gallen 	 85670 	 14 	 0
2016-05-19 	 19:00 	 5 	 price-orange 	 2 	 Wallisellen 	 Sankt Gallen 	 81733 	 16 	 0
2016-05-19 	 20:00 	 6 	 price-red 	 3 	 Schlieren 	 Basel 	 81735 	 13 	 0
2016-05-20 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-20 	 11:20 	 5 	 price-green 	 5 	 Zürich 	 Landquart 	 105382 	 21 	 1
2016-05-20 	 12:00 	 7 	 price-orange 	 2 	 Zürich 	 Biel 	 116902 	 16 	 1
2016-05-20 	 12:00 	 9 	 price-red 	 3 	 Zürich 	 Bern 	 121079 	 13 	 1
2016-05-20 	 14:40 	 5 	 price-orange 	 3 	 Kloten 	 Basel 	 86407 	 17 	 0
2016-05-20 	 16:00 	 5 	 price-orange 	 3 	 Zürich 	 Basel 	 81912 	 16 	 0
2016-05-21 	 19:30 	 6 	 price-red 	 3 	 Kloten 	 Sankt Gallen 	 85670 	 14 	 0
2016-05-22 	 18:20 	 5 	 price-green 	 5 	 Zürich 	 Landquart 	 106204 	 21 	 1
2016-05-22 	 22:30 	 5 	 price-orange 	 2 	 Affoltern am Albis 	 Pratteln 	 82926 	 16 	 0
2016-05-23 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-23 	 06:15 	 9 	 price-red 	 3 	 Zürich 	 Bern 	 121257 	 13 	 1
2016-05-23 	 07:30 	 5 	 price-orange 	 3 	 Zürich 	 Basel 	 87139 	 17 	 1
2016-05-24 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-24 	 09:00 	 9 	 price-red 	 4 	 Zürich 	 Bern 	 121257 	 13 	 1
2016-05-25 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-25 	 18:00 	 6 	 price-red 	 3 	 Zürich 	 Sankt Gallen 	 86215 	 14 	 0
2016-05-26 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-27 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-27 	 17:00 	 7 	 price-green 	 3 	 Zürich 	 Davos 	 148115 	 21 	 1
2016-05-28 	 06:00 	 7 	 price-orange 	 3 	 Dielsdorf 	 Bern 	 114536 	 16 	 1
2016-05-29 	 22:30 	 5 	 price-orange 	 2 	 Affoltern am Albis 	 Pratteln 	 82926 	 16 	 0
2016-05-30 	 06:00 	 5 	 price-orange 	 3 	 Zürich 	 Sursee 	 82374 	 16 	 0
2016-05-30 	 06:15 	 9 	 price-red 	 3 	 Zürich 	 Bern 	 121257 	 13 	 1
